u1	y1
0.01000	503.71405	
0.01000	495.43028	
0.01000	506.39904	
0.01000	523.56760	
0.01000	528.77876	
0.01000	549.63091	
0.01000	554.11502	
0.01000	590.46999	
0.01000	608.44980	
0.01000	598.14184	
0.01000	589.33895	
0.01000	593.54138	
0.01000	604.33581	
0.01000	592.86143	
0.01000	595.86129	
0.01000	587.34451	
0.01000	545.95635	
0.01000	534.60997	
0.01000	502.95761	
0.01000	554.42119	
0.01000	538.14940	
0.01000	569.72785	
0.01000	592.00440	
0.01000	575.20709	
0.01000	602.83504	
0.01000	575.05394	
0.01000	580.25238	
0.01000	556.94398	
0.01000	561.25686	
0.01000	569.17060	
0.01000	598.69926	
0.01000	619.27486	
0.01000	621.63865	
0.01000	592.39820	
0.01000	594.12328	
0.01000	591.62812	
0.01000	619.61962	
0.01000	599.00041	
0.01000	588.36013	
0.01000	567.32112	
0.01000	540.53657	
0.01000	514.82208	
0.01000	524.18351	
0.01000	551.51916	
0.01000	542.59310	
0.01000	568.28625	
0.01000	555.10446	
0.01000	586.23060	
0.01000	578.66802	
0.01000	604.16537	
0.01000	622.42414	
0.01000	605.16145	
-0.01000	602.79473	
-0.01000	563.66295	
-0.01000	571.73267	
-0.01000	580.84306	
-0.01000	605.80923	
-0.01000	598.55297	
-0.01000	606.81067	
-0.01000	586.35128	
-0.01000	604.74455	
-0.01000	610.89705	
-0.01000	619.92640	
-0.01000	649.78307	
-0.01000	704.19339	
-0.01000	733.60205	
-0.01000	734.26513	
-0.01000	721.54551	
-0.01000	742.04390	
-0.01000	760.97270	
-0.01000	770.61316	
-0.01000	773.92069	
-0.01000	741.40593	
-0.01000	750.84698	
-0.01000	767.27345	
-0.01000	805.85332	
-0.01000	810.95567	
-0.01000	783.48669	
-0.01000	779.63420	
-0.01000	784.39121	
-0.01000	834.21087	
-0.01000	834.26931	
-0.01000	839.48192	
-0.01000	828.65770	
-0.01000	817.80801	
-0.01000	853.52015	
-0.01000	848.72316	
-0.01000	866.22503	
-0.01000	853.23613	
-0.01000	860.86612	
-0.01000	846.82881	
-0.01000	878.86135	
-0.01000	878.72758	
-0.01000	901.85193	
-0.01000	915.82316	
-0.01000	940.80297	
-0.01000	972.70765	
-0.01000	945.35826	
-0.01000	937.40985	
-0.01000	941.88233	
-0.01000	945.77599	
-0.01000	950.04425	
-0.01000	959.60053	
-0.01000	925.70672	
-0.01000	922.43338	
-0.01000	894.49388	
-0.01000	930.91606	
-0.01000	947.32315	
-0.01000	949.64964	
-0.01000	962.77313	
-0.01000	968.45672	
-0.01000	991.88104	
-0.01000	1013.54736	
-0.01000	989.22550	
-0.01000	992.25555	
-0.01000	961.59508	
-0.01000	970.31531	
-0.01000	997.28733	
-0.01000	1007.25880	
-0.01000	1014.85785	
-0.01000	1019.34361	
-0.01000	1018.10130	
